Mandibles 77 canines in 5 types, in 7 groups, crossed by 9 characteristics: Cahiers 1993 (4).
7 9 SUPNO 7 6 Mnd MndB	Cndl	MndH	molL	molB	mol3	prm4	canB 
supT    10270   809  1708  1743  1586   626  2634  2987   481
supt     9792  747 1721 1621 1516  602 2486 2856  458 
supC    11319   842  1875  1722  1857   716  3085  3363   502 
supc    10844   794  1831  1674  1786   647  2959  3297   459 
supH    12974   971  2250  2041  2020   756  3241  3639   622 
suph     9049  650 1423 1391 1427  551 2372 2626  415 
supp    12279  1034  1991  2298  1919   819  3274  3581   617 
