     0  1305    0   3573     25    500    110  293  
     2  8335    0      0      0      8      0    0
  1311  2691   70   4891   1484   2526   1697    4
  1322  3808    0   1445    261    200    288  1442
    42  1883  194   2881     67    195    493    0
     0  4426  522   1540    239     93      0    0
   299  1484    0   1853    249   1584     59   84
    20   339    0   5073      2     85     11    0
   122   645    2   2852    971    36     197    0
     0  2559  996   1149    218     0     134    0
    29  4918    0   1398     15     0     241    0
     0  1284  271   3311     33   540     548  1996
     0   768  483   1541      6   138      22  1206
     2   201  136   1398      0     0     333  5533
