

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
 76       1       3040.    1.0467    1.4147    -5.5018     0.1566    0.4113    0.2225
 77       1       2925.    0.8781    1.2343    -5.7491     0.1732    0.4110    0.1136
 78       1       1740.    1.5095    1.8036    -5.5810     0.4662    0.6396   -0.0841
 79       1       2419.    1.5205    1.8823    -5.5151     0.5288    0.6275   -0.2596
 80       1       2589.    1.4924    1.7479    -5.7747    -0.1151    0.2307   -0.1397
 81       1       3135.    1.5374    1.6924    -5.8592    -0.0990    0.1832   -0.1308
 82       1       3011.    1.3661    1.6960    -4.9991     0.6437    0.8072    0.2266
 83       1       3029.    1.3003    1.6507    -5.0513     0.7173    0.8228   -0.1403
 84       1       1449.    1.3552    1.5213    -5.3228     0.0580    0.3041    0.1667
 85       1       1628.    1.3490    1.5636    -5.2163     0.0697    0.3432    0.1480
 86       1       1086.    1.0940    1.3540    -6.0942     0.0076    0.3321   -0.4908
 87       1       2204.    1.0492    1.3625    -5.9965     0.0661    0.3321   -0.1427
 88       1       1303.    0.8996    1.3273    -4.8435     0.4110    0.6809   -0.0814
 89       1       2106.    0.8961    1.4158    -4.9002     0.4300    0.6199    0.1937
 90       1       2697.    0.6754    1.1366    -5.3891     0.0565    0.3807    0.0973
 91       1       1731.    0.8996    1.1989    -4.9231     0.4712    0.6283    0.3576
 92       1       2586.    0.8996    1.1094    -4.8381     0.4625    0.6263    0.9366
 93       1       1042.    1.2343    1.3984    -5.6902    -0.2608   -0.0036    0.0948
 94       1       3132.    1.1698    1.3167    -5.7520    -0.2279    0.0013   -0.0367
 95       1       1683.    0.2041    0.5915    -5.0275     0.3375    0.5380    0.8605
 96       1       2894.    0.2041    0.5770    -4.9064     0.3419    0.5058    0.9387
 97       1       1200.    0.8631    1.4427    -5.4224    -0.0624    0.1943    0.0678
 98       1       2593.    0.9645    1.4755    -5.3656    -0.0813    0.2267    0.1937
 99       1       2603.    0.9735    1.3928    -5.0269    -0.1041    0.1389    0.5041
100       1       3174.    0.9852    1.3038    -5.1111    -0.0753    0.1479   -0.2882
101       1       773.     1.3154    1.7853    -5.5844     0.0294    0.3143   -0.0462
102       1       1806.    1.1971    1.4946    -5.8119     0.0788    0.3178   -0.2874
103       1       2310.    1.1651    1.4299    -5.8176     0.0761    0.4224   -0.2815
104       1       1446.    0.9645    1.5255    -5.5642     0.3063    0.5287   -0.3161
105       1       2688.    1.0639    1.5528    -5.5013     0.2850    0.4901    0.0346
106       1       2891.    1.2059    1.7834    -3.9921     0.5310    0.7286    0.9402
107       1       2994.    1.1864    1.6864    -3.9703     0.5727    0.7962    1.1590
108       1       2391.    0.7793    1.1436    -5.3898     0.2414    0.4113   -0.4584
109       1       803.     0.6450    0.8593    -5.7612     0.2956    0.4632    0.0719
110       1       2932.    0.5992    0.9600    -5.7385     0.3039    0.4006   -0.2396
111       1       257.     1.4545    1.9076    -4.4344     0.3021    0.5116    0.2333
112       1       2228.    1.4810    1.9548    -4.5461     0.2900    0.4764    0.9088
113       1       1515.    1.5704    1.8495    -5.2485     0.3418    0.6535   -0.0794
114       1       2277.    1.5613    1.8420    -5.3581     0.3728    0.5926    0.0667
115       1       2189.    0.9461    1.3127    -5.7409     0.2169    0.3468   -0.2798
116       1       394.     1.5681    2.0258    -4.1430     0.2767    0.5480    0.6792
117       1       3035.    1.5536    1.9467    -4.2217     0.3378    0.5179    0.7800
