

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
327       1       2825.    1.1083    1.5065    -5.4530     0.8172    0.8172   -0.4123
328       1       2628.    0.2375    0.7700    -5.3650     0.3289    0.4989    0.8517
329       1       704.     1.3576    1.6617    -5.3422     0.3549    0.5525    0.1364
330       1       2619.    1.5598    2.1820    -4.6912     0.0473    0.2878   -0.1331
331       1       2922.    1.7387    2.2062    -4.7857     0.1271    0.3312    0.4550
332       1       2240.    1.3181    1.6254    -5.7147     0.0591    0.3361   -0.2233
333       1       249.     0.8232    1.4555    -3.8232     0.3562    0.5415    1.5393
334       1       1541.    1.0237    1.4190    -3.8587     0.4243    0.5980    1.5513
335       1       3128.    1.1506    1.5077    -3.9688     0.5653    0.7062    1.0938
336       1       2087.    0.4396    1.0048    -5.5028     0.3130    0.5469    0.3233
337       1       2190.    1.6021    2.1331    -4.9759     0.1144    0.4250    0.2603
338       1       2877.    1.4623    2.0573    -4.8560     0.0782    0.3179    0.4648
339       1       2447.    1.5197    1.8081    -5.4636    -0.2584   -0.0346   -0.2581
340       1       1742.    1.0263    1.7173    -5.5243     0.0114    0.3027   -0.1040
341       1       2081.    0.6124    1.1953    -5.2615     0.6118    0.7985    0.0607
342       1       741.     0.7305    1.0962    -5.8560     0.3189    0.6971   -0.4868
343       1       3138.    0.3502    0.7147    -4.9531     0.2409    0.4442    1.2208
344       1       2037.    0.5544    0.7974    -4.8906     0.5430    0.7412    0.8710
345       1       2793.    0.3625    0.8436    -4.8147     0.6261    0.8003    0.6042
346       1       2919.    0.6055    1.3079    -4.5924     0.3289    0.5256    0.7614
347       1       2074.    1.2580    1.9221    -4.9473     0.2615    0.4792    0.1153
348       1       815.     1.0103    1.4050    -5.6411    -0.2380    0.0820   -0.1844
349       1       2774.    1.0517    1.7414    -5.2301     0.2099    0.4405   -0.2628
350       1       2232.    0.8062    1.7521    -4.9176     0.3080    0.5376    0.7795
351       1       2522.    1.7536    1.9195    -4.6643     0.3669    0.5941    0.5089
352       1       2916.    0.7507    1.0062    -5.5123     0.1496    0.3686    0.0124
353       1       2681.    1.2641    1.7439    -5.1372     0.4524    0.6452    0.2146
354       1       3102.    1.1754    1.5689    -5.0308     0.3853    0.5811   -0.0200
355       1       2181.    1.2595    1.9854    -5.5977     0.1868    0.4599   -0.1325
356       1       1687.    1.1446    1.5103    -6.1433     0.0181    0.1773   -0.3335
357       1       2122.    1.5726    2.0815    -4.3720     0.2559    0.4871    0.2767
358       1       2446.    0.6754    0.9168    -5.0449     0.4301    0.5832    0.5832
359       1       2187.    0.9031    1.3527    -6.0595     0.0865    0.4050   -0.3799
360       1       1819.    1.2533    1.7242    -5.4134     0.6950    0.8310    0.3021
361       1       2495.    1.3154    1.5807    -5.3557     0.5568    0.7121   -0.1580
362       1       1468.    1.0210    1.7087    -4.4819     0.6638    0.8727    0.5237
363       1       1601.    0.9429    1.6858    -4.6822     0.7250    0.9767    0.3302
364       1       111.     1.6204    1.9920    -5.2993    -0.1718    0.0289   -0.1878
365       1       1046.    1.5636    2.0583    -5.1302    -0.1221    0.1818   -0.0255
366       1       1157.    0.9675    2.2319    -4.6592     0.2765    0.5387    1.0017
367       1       1419.    1.0210    2.0881    -4.6619     0.1462    0.3911    0.6537
368       1       2992.    1.0734    1.2261    -6.0980     0.4334    0.6094   -0.2848
369       1       1396.    1.1791    1.3221    -5.5837     0.1110    0.3265    0.2258
370       1       1579.    1.4028    1.8661    -4.7358     0.6611    0.8340    0.5116
371       1       3171.    1.5329    1.7575    -4.7586     0.5472    0.6911   -0.2125
372       1       577.     1.7599    2.2549    -5.5262     0.0809    0.3379   -0.1007
373       1       1614.    1.8018    2.3325    -5.3419     0.2209    0.3770    0.0060
374       1       840.     1.7087    1.8839    -5.3778     0.6152    0.7599    0.1149
375       1       2375.    1.5528    1.8315    -5.2096     0.5481    0.8158    0.0430
376       1       2927.    0.8908    1.5357    -5.8706    -0.1017    0.2110   -0.2366
377       1       1655.    1.2076    1.8270    -5.5151    -0.1959    0.0802   -0.3487
378       1       2634.    1.0895    1.7683    -5.0569     0.0305    0.2892    0.1380
379       1       1288.    2.0010    2.5032    -4.4412     0.4835    0.6220    0.8164
380       1       1712.    1.8135    2.4881    -4.5872     0.4012    0.5801    0.4911
381       1       2385.    0.8396    1.2518    -5.9440     0.4351    0.5435   -0.2503
382       1       1717.    0.5222    1.1660    -5.3190     0.2653    0.4825    0.4774
383       1       214.     1.2745    1.6599    -5.8996    -0.3104   -0.0265   -0.1238
384       1       1552.    1.2745    1.6841    -5.8196    -0.1305    0.1394   -0.4425
385       1       1009.    2.4404    2.5523    -4.9763     0.0252    0.2837   -0.1580
386       1       3156.    2.2954    2.4771    -5.0110    -0.1558    0.1924   -0.2534
387       1       351.     1.7189    2.1672    -4.4564     0.0905    0.3812    0.0885
388       1       1150.    1.3950    1.7898    -5.1725    -0.0695    0.2535    0.2325
389       1       2316.    1.0590    1.4651    -4.2667     0.2187    0.4880    0.6065
390       1       2953.    1.0492    1.2261    -4.3056     0.3197    0.5335    1.2431
391       1       2843.    0.8274    1.0467    -5.4304     0.5174    0.7265    0.1821
392       1       1663.    1.0263    1.5559    -3.7689     0.5699    0.7350    1.2788
393       1       973.     1.3465    1.9542    -4.3499     0.3090    0.5891    0.7233
394       1       816.     1.3767    1.9588    -5.5084    -0.5825   -0.0237   -0.4828
395       1       1653.    1.3515    1.7983    -5.6211    -0.3910   -0.0591   -0.1518
396       1       2606.    1.6742    2.1293    -4.0681     0.3498    0.5517    0.3762
397       1       1384.    1.4928    1.6915    -6.3137     0.4679    0.8119    0.1196
398       1       659.     1.5222    2.0089    -5.1186    -0.3385   -0.0097    0.0124
399       1       1704.    0.8190    0.9852    -5.6101    -0.1099    0.0580   -0.2652
400       1       1700.    0.7305    1.3756    -5.7053     0.2806    0.5138    0.0060
401       1       2041.    0.1486    0.7356    -5.2311     0.6915    0.8112    0.3815
402       1       2044.    0.1284    0.8062    -5.4515     0.6731    0.9774   -0.2147
403       1       2067.    0.8396    1.4892    -4.0457     0.5013    0.6601    1.2577
404       1       3056.    0.9965    1.5601    -4.8540     0.0999    0.3682    0.3826
405       1       1025.   -0.0477    0.4190    -5.1345     0.1204    0.3234    1.2115
406       1       2799.   -0.1068    0.5070    -5.3910     0.1709    0.4061    0.8481
407       1       2640.    0.4294    1.4147    -5.4536    -0.0101    0.3002    0.0434
408       1       2749.    0.3744    1.2518    -5.6492    -0.1228    0.2211    0.0938
409       1       1440.    0.4396    1.3871    -4.8294     0.4120    0.6204    1.0605
410       1       1993.    1.3194    1.4838    -5.6059    -0.3935   -0.0575    0.2287
411       1       237.     1.4801    1.6076    -6.0394     0.4040    0.6624   -0.0835
412       1       946.     1.4315    1.6858    -5.7828     0.4637    0.7840   -0.2168
413       1       2309.    1.1094    1.3113    -5.2013     0.6142    0.7834    0.1408
414       1       2691.    1.0663    1.4274    -4.9505     0.7560    0.9327   -0.2277
415       1       3105.    1.1263    1.4427    -4.7828     0.5905    0.7491    0.7218
416       1       2083.    0.8781    1.1809    -4.0753     0.3232    0.5291    1.6572
417       1       1982.    1.4061    2.0407    -4.5783     0.4787    0.6171    0.2263
418       1       2193.    1.6264    2.1309    -4.5653     0.6403    0.7559    0.1892
419       1       219.     0.7974    1.4727    -4.4874     0.1609    0.3959    1.2368
420       1       2112.    1.9154    2.3183    -4.6891    -0.2877    0.0868   -0.2411
421       1       2276.    1.7616    2.0760    -4.5417    -0.3118    0.0532   -0.0685
422       1       2496.    1.2423    1.5624    -6.4571     0.4783    0.7768   -0.3188
423       1       1625.    1.0021    1.2076    -3.9351     0.5255    0.6674    1.4361
424       1       1711.    0.6513    0.7747    -4.6209     0.5373    0.7205    1.2884
425       1       2897.    1.2580    1.4477    -5.1007    -0.4350   -0.1249    0.4683
426       1       2428.    1.1263    2.1612    -4.8494     0.4148    0.5738    0.3122
427       1       110.     2.4862    2.6335    -5.5089     0.2881    0.5811   -0.3206
428       1       2551.    1.4491    1.8020    -6.0283     0.6540    0.6540   -0.2403
429       1       451.     0.4874    1.1809    -4.6726    -0.0170    0.2221    1.2285
430       1       1425.    0.5305    1.0184    -4.9527    -0.1066    0.2107    0.9650
431       1       2508.    1.3972    1.4651    -5.2750     0.6626    0.9979   -0.2848
432       1       3080.    1.4746    1.6867    -5.0466     0.2386    0.6638   -0.0101
433       1       1533.    1.9313    1.9990    -4.9492     0.2832    0.4433    0.6018
434       1       717.     1.0392    1.5704    -6.2642    -0.1344    0.0097   -0.4202
435       1       2528.    0.9600    1.7918    -6.1040    -0.1733    0.2030   -0.2950
436       1       1159.    0.2041    1.2610    -5.6087     0.4423    0.6254    0.5436
437       1       1922.    0.2686    1.2093    -5.6386     0.1929    0.4012    0.4736
438       1       1609.    0.1679    1.1028    -4.3278     0.3083    0.4899    1.7655
439       1       2611.    0.0366    1.0868    -4.5592     0.4374    0.6722    1.5091
440       1       2110.    0.8744    1.2730    -4.3938     0.5569    0.7074    0.6624
441       1       2053.   -0.0477    1.1864    -5.7215     0.2697    0.4866    0.5765
442       1       2202.    0.9585    1.2311    -6.1605    -0.6221   -0.3071   -0.2366
443       1       2913.    1.2876    1.3601    -5.2145     0.1457    0.3393    0.7160
444       1       2138.    1.0780    1.8879    -4.3930     0.2733    0.5292    0.8453
445       1       3067.    0.9168    1.8259    -4.0878     0.3432    0.5434    1.2712
446       1       2436.    1.3905    1.5222    -4.7102     0.4644    0.6767    0.7836
447       1       2770.    1.4294    2.2579    -4.2145     0.4248    0.5611   -0.1707
448       1       2797.    0.4294    0.9461    -4.6876     0.3431    0.5615    0.9178
449       1       3131.    0.9764    1.6844    -5.1972    -0.4937   -0.1913    0.1670
450       1       1458.    1.7351    1.9124    -5.6889    -0.1763    0.0695   -0.2403
451       1       2329.    0.8669    1.3453    -3.4185     0.5350    0.6841    1.6063
452       1       1318.    1.6870    2.2692    -5.9385     0.1931    0.3331   -0.0721
453       1       1646.    1.9912    2.1107    -5.7291     0.0718    0.3435   -0.0325
454       1       1546.    1.1242    1.3351    -5.5518     0.7792    1.0545    0.2989
455       1       2958.    1.4560    1.5670    -4.8052     0.1482    0.3582    0.5741
456       1       2156.    1.9639    2.1887    -3.7699     0.5140    0.6322    1.2193
457       1       1830.    2.1117    2.1905    -4.9739     0.4371    0.6033   -0.1772
458       1       867.     0.1717    0.4173    -5.3765     0.4740    0.7064    0.3722
459       1       2728.    0.1526    0.3073    -5.0474     0.6676    0.9136    0.4098
460       1       999.    -0.1146    0.8232    -4.9461     0.3388    0.5652    1.0625
461       1       2431.   -0.0799    0.4434    -4.7342     0.2677    0.4510    1.5562
462       1       2151.    0.0103    1.2833    -4.1766     0.5386    0.7764    2.0214
463       1       2815.    2.0213    2.1197    -4.7596    -0.5263   -0.2338   -0.0155
464       1       1989.    2.1354    2.4353    -4.1366     0.1535    0.3835    0.4360
465       1       2287.    2.3919    2.6646    -4.4196     0.3202    0.4689    0.2813
466       1       211.     2.3093    2.4665    -5.8187    -0.0046    0.2792   -0.4963
467       1       3115.    0.6055    1.6562    -4.5865     0.5252    0.7115    1.0451
468       1       2148.    1.6689    1.7880    -5.7518     0.1734    0.4243    0.1464
469       1       2537.    0.4783    0.6812    -4.7060     0.0821    0.3569    1.4078
470       1       1196.    2.0144    2.2120    -5.6799     0.4559    0.6159   -0.2565
471       1       540.     1.2533    1.5051    -6.4802    -0.3636   -0.0212   -0.1198
472       1       1734.    0.6387    1.6695    -5.8713    -0.0550    0.2540    0.2299
473       1       204.     1.3072    1.7970    -5.6784     0.8855    0.9880   -0.1713
474       1       685.     1.1953    1.8604    -5.9194    -0.7381   -0.4086   -0.0195
475       1       2901.    0.9993    1.4536    -6.1060    -1.0256   -0.5772   -0.2299
476       1       692.     0.7604    1.7961    -5.3627    -0.0901    0.1016    0.1173
477       1       2325.    1.2161    1.3527    -6.2916     0.5370    1.1398   -0.1284
478       1       3136.    0.6841    1.2912    -6.3606     0.4513    0.8248   -0.4547
479       1       2711.    1.9423    2.0964    -5.2660    -0.4677   -0.0765   -0.0429
480       1       3110.    0.6927    1.0076    -4.4137     0.7933    0.8990    0.5586
481       1       2831.    1.8199    2.1765    -3.1792     0.1366    0.5839    1.6378
482       1       2856.    1.7521    2.0787    -3.6028     0.8663    0.8663    1.2703
483       1       107.     1.8364    2.3193    -6.6055    -0.2765    0.0172   -0.5243
484       1       114.     1.4718    2.5812    -5.6815    -0.2759    0.0116   -0.1415
485       1       3057.    1.1263    1.5426    -3.1070     0.4103    0.7222    1.5101
486       1       1886.    0.5621    2.4405    -4.0034     0.6783    0.8022    1.1240
487       2       229.    -0.5918   -0.3487    -6.8664     0.5400    0.6848   -0.1713
488       2       2265.   -0.5918   -0.3410    -6.8150     0.5906    0.6731    0.0457
489       2       575.    -0.5686   -0.3840    -6.3727     0.5658    0.6629    0.4393
490       2       2163.   -0.6402   -0.4078    -6.3549     0.5564    0.6920   -0.0590
491       2       1461.   -0.5214   -0.3363    -6.4221     0.5977    0.8041   -0.2034
492       2       2800.   -0.4949   -0.3487    -6.3582     0.5993    0.7454   -0.1549
493       2       906.    -0.6517   -0.4001    -6.2352     0.7058    0.8755    0.3804
494       2       2918.   -0.5918   -0.3487    -6.2135     0.7032    0.8220    0.3353
495       2       1211.   -0.5591   -0.1175    -6.6825     0.4232    0.5151    0.2266
496       2       2973.   -0.5834   -0.1959    -6.6446     0.3837    0.5171    0.1284
497       2       1076.   -1.2596   -0.7932    -5.9517     0.7142    0.8848    0.4325
498       2       1665.   -1.1938   -0.7167    -5.9546     0.7156    0.8973    0.2999
499       2       1129.   -0.2907   -0.0177    -6.8406     0.3516    0.5195   -0.2233
500       2       2352.   -0.1938   -0.0177    -6.8444     0.3091    0.4972   -0.2013
501       2       2879.   -1.0969   -0.7545    -7.2878     0.5354    0.5354   -0.1945
502       2       2964.   -1.0969   -0.6990    -7.2269     0.5431    0.6068   -0.0232
503       2       2834.   -0.7959   -0.1675    -5.5245     0.7011    0.8558    0.8028
504       2       2952.   -0.7352   -0.1675    -5.6111     0.7062    0.9065    0.5688
505       2       2273.   -1.0177   -0.6498    -5.5473     0.6335    0.7939    0.9769
506       2       3173.   -1.0555   -0.6819    -5.5310     0.5502    0.7288    0.8014
507       2       2312.   -0.9508   -0.5654    -6.2410     0.7367    0.9958    0.1775
508       2       2487.   -0.8928   -0.4737    -6.2297     0.7208    1.0406    0.1611
509       2       1635.   -0.4949   -0.2907    -6.7702     0.5770    0.6667    0.0660
510       2       2701.   -0.4949   -0.1965    -6.7708     0.6607    0.6607   -0.1669
511       2       2201.   -0.8894   -0.4202    -6.5061     0.5167    0.6972    0.1007
512       2       2512.   -0.9508   -0.4449    -6.4970     0.4141    0.6537    0.3306
513       2       2049.   -0.8928   -0.8928    -6.4311     0.6167    0.7650    0.0927
514       2       2504.   -0.8928   -0.8928    -6.3752     0.6460    0.6460    0.1433
515       2       547.    -0.5918   -0.2907    -6.2587     0.6673    0.7653    0.4301
516       2       2523.   -0.5058   -0.1675    -6.0130     0.6085    0.8414    0.1377
517       2       3121.   -0.5171   -0.1013    -6.0497     0.6927    0.9245   -0.0443
518       2       1308.   -1.2366   -0.6676    -7.0253     0.4906    0.5631    0.2044
519       2       2372.   -1.1427   -0.5918    -6.9862     0.4903    0.4903   -0.3134
520       2       218.    -0.2240    0.0693    -6.2854     0.4243    0.5446   -0.0615
521       2       2365.   -0.2396    0.1864    -6.3138     0.4679    0.6232   -0.0026
522       2       2748.   -0.7167   -0.4157    -7.1333     0.4169    0.5586    0.0228
523       2       2821.   -0.8182   -0.4067    -7.0231     0.3908    0.5454    0.1133
524       2       2357.   -0.6345   -0.3726    -6.4585     0.4650    0.6313    0.3047
525       2       2614.   -1.0555   -0.5287    -5.5431     0.5268    0.7702    0.7704
526       2       845.    -0.0477    0.3744    -5.8716     0.5061    0.7698   -0.1637
527       2       2810.    0.0430    0.3820    -5.9029     0.4920    0.6320   -0.0453
528       2       1073.   -0.7167   -0.2907    -6.5388     0.3635    0.5189    0.3253
529       2       2360.   -0.6990   -0.2457    -6.6972     0.3377    0.4867    0.0682
530       2       2828.   -0.6198   -0.2358    -6.4454     0.5972    0.8111   -0.0696
531       2       2155.   -0.3788   -0.1500    -6.0389     0.7029    0.9558    0.1332
532       2       2115.   -0.5513   -0.2941    -6.6931     0.3166    0.5623    0.0410
533       2       2502.   -0.6990   -0.2907    -6.1870     0.7843    0.9061    0.1581
534       2       3038.   -0.5528   -0.3335    -6.0998     0.8183    0.9123    0.1303
535       2       2690.   -0.8928   -0.6990    -6.5071     0.8075    1.0200    0.0191
536       2       3118.   -0.8665   -0.6345    -6.5689     0.7240    0.8872    0.0734
537       2       2332.   -1.6198   -1.2840    -7.0304     0.5439    0.6977   -0.3335
538       2       3037.   -1.7447   -1.3188    -6.8964     0.5626    0.6823   -0.1325
539       2       1112.   -0.6253   -0.3546    -5.8129     0.4848    0.6512    0.1575
540       2       2320.   -0.6055   -0.2161    -5.7472     0.3961    0.5848    0.9004
541       2       207.    -1.3768   -1.0706    -6.3929     0.6659    0.8373    0.0107
542       2       2326.   -1.4949   -1.0555    -6.3135     0.6407    0.7098   -0.2168
543       2       2454.   -0.1993    0.1332    -5.9542     0.1520    0.3001   -0.0472
544       2       2632.   -0.3188    0.1593    -6.0925     0.1778    0.3576    0.2887
545       2       1359.   -0.9706   -0.5884    -6.1830     0.5404    0.7820    0.0955
546       2       2975.   -1.1427   -0.6198    -6.2436     0.6019    0.7778    0.0013
547       2       486.    -0.8928   -0.4949    -7.0514     0.4431    0.6719    0.0366
548       2       2892.   -0.9830   -0.5406    -6.9896     0.3680    0.5354    0.2041
549       2       2679.   -0.7167   -0.5918    -4.7946     0.8596    1.1332    1.0941
550       2       2715.   -0.7167   -0.4157    -4.8480     0.9237    1.1525    0.9495
551       2       1953.   -0.4157    0.4496    -6.1224     0.3641    0.6519    0.2632
552       2       2268.   -0.3809    0.2909    -6.2053     0.3769    0.5818    0.3709
553       2       1694.   -0.7773   -0.4112    -6.1935     0.6737    1.0214    0.2679
554       2       568.    -1.2366   -0.9245    -6.0569     0.8039    1.0431    0.1553
555       2       3027.   -1.3768   -0.9208    -6.0436     0.9369    1.0986    0.0249
556       2       2449.   -1.0177   -0.6819    -6.5031     0.6607    0.9872   -0.2284
557       2       2395.   -1.1938   -0.8928    -7.2052     0.5207    0.5403   -0.1701
558       2       836.    -0.5918   -0.4949    -7.0663     0.4559    0.5299   -0.2411
559       2       2117.   -0.4157   -0.1938    -6.2394     0.9015    0.9015   -0.0329
560       2       2448.   -0.3565   -0.1146    -6.1154     0.9865    1.0208   -0.1221
561       2       2977.   -0.5918   -0.2396    -6.2810     0.4778    0.7185    0.2646
562       2       2846.   -1.3979   -1.1938    -6.8899     0.4602    0.6386   -0.0110
563       2       3073.   -1.5528   -1.2518    -7.0101     0.4302    0.5627   -0.1752
564       2       297.    -0.4949   -0.0177    -5.9702     0.5082    0.6692    1.3404
565       2       1760.   -0.4949   -0.2396    -5.9238     0.5152    0.6880    0.5664
566       2       1566.   -1.5086   -1.1308    -6.5428     0.5751    0.7031   -0.2984
567       2       3137.   -1.3979   -1.1938    -6.5205     0.7574    0.7574   -0.3089
568       2       1289.   -0.5800   -0.1669    -6.4892     0.2804    0.5062    0.1575
569       2       2795.   -0.9508   -0.6345    -6.0927     0.9494    1.2175    0.2824
570       2       2910.   -0.8928   -0.4949    -6.0088     1.0453    1.3373    0.0481
571       2       1659.   -0.7167   -0.1146    -6.3929     0.5431    0.9042   -0.1278
572       2       1968.    0.5918   -0.1524    -6.5830     0.5553    0.9338   -0.0585
573       2       2514.   -0.9508   -0.6990    -5.4729     0.4553    0.6307    1.2589
574       2       1518.   -0.4157    0.0366    -5.8790     0.5935    0.9106    0.5022
575       2       2205.   -0.2396    0.0615    -5.9017     0.7360    0.8420   -0.0670
576       2       2788.   -0.3188   -0.0595    -6.1316     0.6400    0.8078    0.1048
577       2       2146.   -1.0506   -0.6055    -6.4305     0.8168    1.0794    0.0481
578       2       2167.   -0.8928   -0.8928    -6.1718     0.5883    0.7286    0.2975
579       2       2434.   -0.7167   -0.4949    -6.8502     0.0703    0.6321   -0.2573
580       2       2529.   -0.7167   -0.5918    -6.7860    -0.1271    0.5372   -0.1612
581       2       2103.   -0.5918    0.0103    -6.2652     0.5740    0.8253    0.0931
582       2       2353.   -0.3893    0.0035    -6.3897     0.6183    0.7595    0.1156
583       2       2291.   -1.1938   -1.1938    -6.7900     0.7330    0.8403   -0.5560
584       2       2814.   -1.1938   -1.1938    -6.6972     0.5315    0.7219   -0.1146
585       2       2377.   -0.5784   -0.3045    -5.5907     0.7480    0.9512    0.4678
586       2       138.    -0.6615   -0.5017    -6.8658     0.3808    0.5197   -0.1415
587       2       1051.   -0.8928   -0.4949    -7.1202     0.1395    0.3713   -0.2321
588       2       1096.   -0.7167   -0.4949    -7.2833     0.2165    0.3374   -0.0482
589       2       1736.   -0.8928   -0.8928    -7.0910     0.3561    0.5201    0.1059
590       2       2485.   -0.8928   -0.7545    -7.2773     0.2824    0.4331   -0.0635
591       2       551.    -0.9393   -0.6021    -5.9937     0.5884    0.7373    0.5645
592       2       2583.   -0.8928   -0.5918    -5.7442     0.5684    0.6884    0.6556
593       2       2099.    0.1072    0.4082    -6.0788     0.6082    0.6717   -0.0799
594       2       603.    -0.0799    0.1679    -6.0493     0.3796    0.5087    0.5429
595       2       936.    -0.0419    0.1578    -5.8337     0.4104    0.6491    0.5808
596       2       2317.   -0.3487   -0.0477    -6.1020     0.0892    0.2789    0.7605
597       2       2801.   -1.1938   -0.5918    -7.4338     0.4499    0.4499   -0.8447
598       2       2823.   -1.1938   -0.7545    -7.5291     0.2675    0.4302   -0.3206
599       2       2125.   -0.9031   -0.6517    -5.3413     0.6132    0.7825    0.9701
600       2       2597.   -0.8665   -0.5918    -6.9709     0.6857    0.8100   -0.0540
601       2       2693.   -0.7852   -0.7258    -7.0292     0.4969    0.8875   -0.2351
602       2       2978.   -1.0555   -0.4437    -6.3063     0.3969    0.5995    0.5832
603       2       1154.   -0.9830   -0.7144    -5.9200     0.8249    0.9035    0.2130
604       2       3078.   -0.9508   -0.6498    -5.7782     0.7679    1.1076    0.2125
605       2       2206.   -0.6925   -0.2204    -6.5007     0.7668    0.9461    0.1436
606       2       2126.   -0.7825   -0.3969    -6.4090     0.6085    0.8168    0.3651
607       2       830.    -1.2218   -0.8827    -6.1847     0.6697    0.8776    0.3458
608       2       788.    -1.0410   -0.5186    -6.8447    -0.0372    0.1788    0.1351
609       2       2966.   -0.8665   -0.5058    -6.7316     0.0879    0.3092   -0.1113
610       2       729.    -1.2007   -0.7375    -6.2415     0.8144    1.0723   -0.2168
611       2       2599.   -1.1938   -0.7545    -6.0804     0.8808    1.2855   -0.1079
612       2       491.    -1.4089   -1.0000    -5.9276     0.7698    0.9086   -0.4134
613       2       909.    -0.4949   -0.0799    -6.6415     0.2198    0.8307   -0.3925
614       2       2849.   -0.3595    0.1007    -6.5698     0.1655    0.9711   -0.1911
615       2       2220.   -0.9101   -0.0218    -6.4505     0.4540    0.5846    0.1559
616       2       2987.   -0.8928   -0.1938    -6.3843     0.3852    0.3852   -0.1325
617       2       1463.   -0.8928   -0.7167    -6.9045    -0.1898    0.1141    0.2827
618       2       2384.   -0.8928   -0.7167    -6.9312     0.0573    0.2455   -0.2636
619       2       254.    -0.7167   -0.4157    -5.8912     0.7550    1.0000    0.1202
620       2       3094.   -0.4949   -0.3645    -5.9743     0.8808    1.0786    0.0719
621       2       1404.   -0.1524    0.1486    -6.7984     0.5908    0.7348   -0.2495
622       2       3114.   -0.2907   -0.0477    -6.9495     0.5911    0.7108   -0.1656
623       2       2145.   -0.7167   -0.1146    -6.7227     0.5415    0.6698   -0.1599
624       2       2327.   -0.0177    0.3972    -6.3794     0.2096    0.6851   -0.3915
625       2       2851.    0.0103    0.3744    -6.5183     0.4368    0.5867   -0.2132
626       2       1223.   -0.4672   -0.0114    -6.7469    -0.2569    0.1951   -0.0991
627       2       1481.   -0.4157    0.1486    -6.7345    -0.0751    0.3421   -0.0768
628       2       185.    -1.2518   -0.8794    -7.2926     0.2977    0.6003   -0.1373
629       2       799.    -1.2840   -0.7620    -7.1986     0.1539    0.3916   -0.0031
630       2       2068.   -1.0362   -0.2284    -6.1285     0.4078    0.5858    0.8971
631       2       2995.   -0.9830   -0.1524    -6.2783     0.6046    0.7216    0.3172
632       2       3066.   -1.0555   -0.7545    -6.4910     0.7033    0.7341    0.0955
633       2       2860.    0.0334    0.1652    -5.8865     0.6562    0.7610    0.1872
634       2       1453.   -0.7167   -0.7167    -5.9263     0.6554    0.8243    0.8637
635       2       1588.   -0.7167   -0.4157    -6.0858     0.5691    0.7011    0.1565
636       2       537.     0.0849    0.6323    -5.6863     0.6734    0.8895    0.1629
637       2       2623.    0.2533    0.5305    -5.8758     0.6030    0.7426    0.3402
638       2       3043.   -1.2518   -0.9830    -7.4310     0.0924    0.4484   -0.2967
639       2       2040.   -0.3307    0.0461    -6.0468     0.4395    0.4395   -0.0209
640       2       2043.   -0.7167   -0.2907    -6.9967     0.1749    0.3462   -0.1255
641       2       1088.   -0.8928   -0.7167    -5.5156     0.7792    0.9687    0.7291
642       2       2933.   -0.7167   -0.4949    -5.4280     0.6897    0.8444    0.8281
643       2       480.    -1.7212   -1.1739    -5.9386     0.6129    0.8528    0.2889
644       2       677.    -1.5229   -1.2596    -5.7922     0.8062    0.9356    0.2725
645       2       2132.   -1.5850   -1.0458    -7.2573     0.4332    0.5611   -0.0595
646       2       2873.   -1.3565   -1.0757    -7.3719     0.6399    0.6610   -0.1952
647       2       1097.   -1.0605   -0.1002    -6.7934     0.3317    0.4517    0.0141
648       2       1662.   -1.1549   -0.3778    -6.8539     0.1505    0.4222   -0.2020
649       2       512.    -1.4437   -0.7375    -6.3695     0.7831    0.7831    0.0394
650       2       2161.   -1.3979   -0.7520    -6.6960     0.7715    0.9085   -0.1141
651       2       1741.   -1.1612   -0.2381    -6.5218     0.5904    0.6796    0.0715
652       2       1680.   -0.8928   -0.8928    -7.0232     0.8114    0.8114   -0.3830
653       2       809.    -0.5918    0.1072    -6.2765     0.3419    0.5580    0.4965
654       2       1102.   -1.1024   -0.7282    -6.5146     0.3920    0.5459    0.2127
655       2       2649.   -0.8928   -0.5918    -6.7509     0.3050    0.4726    0.1319
656       2       2564.   -0.8928   -0.5918    -6.0635     0.2812    0.7913    0.0596
657       2       2536.   -0.8928   -0.8928    -6.6152     0.1397    0.4076   -0.4202
658       2       1636.   -0.1146    0.3113    -6.2752     0.1966    0.3508    0.1345
659       2       878.    -0.5918   -0.4157    -6.3058     0.9757    1.1010    0.0394
660       2       444.    -0.8928   -0.5918    -5.8230     0.1136    0.3516    1.2200
661       2       2896.   -0.8416   -0.3410    -6.1096     0.0216    0.2514    0.8886
662       2       1851.   -0.8928    0.0615    -5.9284     0.4842    0.5692    0.2507
663       2       2330.   -1.0555   -0.0947    -5.7434     0.6255    0.8257    0.6907
664       2       2003.   -0.8996   -0.2823    -6.6163     0.7793    1.1199    0.1452
665       2       2288.   -0.5918   -0.3487    -6.8479     0.7384    0.9892   -0.0996
666       2       2585.   -0.3487   -0.0799    -7.0605    -0.0720    0.1477   -0.2269
667       2       1553.   -0.2907   -0.0177    -4.9619     0.6131    0.8287    1.0318
668       2       3113.   -0.3335   -0.0106    -5.3873     0.6634    0.8015    0.4935
669       2       1719.   -0.6536    0.0199    -5.7240     0.9134    1.1604    0.4468
